YearMonth,Portfolio Returns,Portfolio
1969-08,0.05236025510204082,Size
1969-09,-0.025585281249999998,Size
1969-10,0.07135298,Size
1969-11,-0.05358235714285714,Size
1969-12,-0.06577411111111112,Size
1970-01,-0.05143755,Size
1970-02,0.027641589999999997,Size
1970-03,-0.03301558,Size
1970-04,-0.15106317,Size
1970-05,-0.10162322222222221,Size
1970-06,-0.08900999999999999,Size
1970-07,0.057788950000000006,Size
1970-08,0.06499373,Size
1970-09,0.13576867,Size
1970-10,-0.09899158,Size
1970-11,0.01010268,Size
1970-12,0.0725239693877551,Size
1971-01,0.1125245,Size
1971-02,0.02617028,Size
1971-03,0.04829997979797979,Size
1971-04,0.0312469898989899,Size
1971-05,-0.06344761616161616,Size
1971-06,-0.028671434343434343,Size
1971-07,-0.04982616,Size
1971-08,0.06395285858585859,Size
1971-09,-0.008588295918367345,Size
1971-10,-0.058630449999999994,Size
1971-11,-0.020031970907838384,Size
1971-12,0.12697770103092784,Size
1972-01,0.08701998,Size
1972-02,0.042014430000000005,Size
1972-03,-0.010879545454545454,Size
1972-04,0.004529890000000001,Size
1972-05,-0.04088844444444444,Size
1972-06,-0.025045323232323235,Size
1972-07,-0.0402400404040404,Size
1972-08,0.01955680412371134,Size
1972-09,-0.03552241237113402,Size
1972-10,-0.00680076,Size
1972-11,0.05765726,Size
1972-12,-0.033126159999999995,Size
1973-01,-0.06250448,Size
1973-02,-0.08415784,Size
1973-03,-0.024708450000000003,Size
1973-04,-0.0666469309,Size
1973-05,-0.09140678571428572,Size
1973-06,-0.01784862886597938,Size
1973-07,0.1057418469387755,Size
1973-08,-0.04708037755102041,Size
1973-09,0.10487992857142857,Size
1973-10,-0.0021618099999999997,Size
1973-11,-0.19928404,Size
1973-12,-0.01894239,Size
1974-01,0.08611713265306123,Size
1974-02,0.020806663265306124,Size
1974-03,-0.01781051020408163,Size
1974-04,-0.05191534693877552,Size
1974-05,-0.0877817755102041,Size
1974-06,-0.015370857142857144,Size
1974-07,-0.033548828282828284,Size
1974-08,-0.07762982653061225,Size
1974-09,-0.0800910824742268,Size
1974-10,0.09446881641212,Size
1974-11,-0.05029568686868687,Size
1974-12,-0.05331144329896908,Size
1975-01,0.29722475,Size
1975-02,0.03504655,Size
1975-03,0.07935111111111111,Size
1975-04,0.0291922,Size
1975-05,0.08446652,Size
1975-06,0.06589497,Size
1975-07,-0.03498349,Size
1975-08,-0.04942407,Size
1975-09,-0.04872527,Size
1975-10,0.04535502,Size
1975-11,0.0340907,Size
1975-12,0.00017417171717171777,Size
1976-01,0.16435709090909092,Size
1976-02,0.06876327272727273,Size
1976-03,0.013698080808080807,Size
1976-04,-0.02446278,Size
1976-05,-0.025352700000000002,Size
1976-06,0.05744618367346938,Size
1976-07,0.0046648800000000015,Size
1976-08,-0.015555090909090909,Size
