Current Quarter,Next Quarter,Overlap Count,Turnover Count,Turnover Fraction
1984-09-28,1984-12-31,58.0,42.0,0.42
1984-12-31,1985-03-29,63.0,37.0,0.37
1985-03-29,1985-06-28,63.0,37.0,0.37
1985-06-28,1985-09-30,63.0,37.0,0.37
1985-09-30,1985-12-31,56.0,44.0,0.44
1985-12-31,1986-03-31,60.0,40.0,0.4
1986-03-31,1986-06-30,57.0,43.0,0.43
1986-06-30,1986-09-30,49.0,51.0,0.51
1986-09-30,1986-12-31,68.0,32.0,0.32
1986-12-31,1987-03-31,57.0,43.0,0.43
1987-03-31,1987-06-30,60.0,40.0,0.4
1987-06-30,1987-09-30,64.0,36.0,0.36
1987-09-30,1987-12-31,48.0,52.0,0.52
1987-12-31,1988-03-31,63.0,37.0,0.37
1988-03-31,1988-06-30,58.0,42.0,0.42
1988-06-30,1988-09-30,73.0,27.0,0.27
1988-09-30,1988-12-30,55.0,45.0,0.45
1988-12-30,1989-03-31,58.0,42.0,0.42
1989-03-31,1989-06-30,62.0,38.0,0.38
1989-06-30,1989-09-29,65.0,35.0,0.35
1989-09-29,1989-12-29,61.0,39.0,0.39
1989-12-29,1990-03-30,61.0,39.0,0.39
1990-03-30,1990-06-29,60.0,40.0,0.4
1990-06-29,1990-09-28,62.0,38.0,0.38
1990-09-28,1990-12-31,70.0,30.0,0.3
1990-12-31,1991-03-28,68.0,32.0,0.32
1991-03-28,1991-06-28,63.0,37.0,0.37
1991-06-28,1991-09-30,62.0,38.0,0.38
1991-09-30,1991-12-31,61.0,39.0,0.39
1991-12-31,1992-03-31,58.0,42.0,0.42
1992-03-31,1992-06-30,68.0,32.0,0.32
1992-06-30,1992-09-30,66.0,34.0,0.34
1992-09-30,1992-12-31,53.0,47.0,0.47
1992-12-31,1993-03-31,51.0,49.0,0.49
1993-03-31,1993-06-30,57.0,43.0,0.43
1993-06-30,1993-09-30,67.0,33.0,0.33
1993-09-30,1993-12-31,62.0,38.0,0.38
1993-12-31,1994-03-31,53.0,47.0,0.47
1994-03-31,1994-06-30,59.0,41.0,0.41
1994-06-30,1994-09-30,61.0,39.0,0.39
1994-09-30,1994-12-30,60.0,40.0,0.4
1994-12-30,1995-03-31,60.0,40.0,0.4
1995-03-31,1995-06-30,57.0,43.0,0.43
1995-06-30,1995-09-29,53.0,47.0,0.47
1995-09-29,1995-12-29,60.0,40.0,0.4
1995-12-29,1996-03-29,68.0,32.0,0.32
1996-03-29,1996-06-28,53.0,47.0,0.47
1996-06-28,1996-09-30,63.0,37.0,0.37
1996-09-30,1996-12-31,52.0,48.0,0.48
1996-12-31,1997-03-31,61.0,39.0,0.39
1997-03-31,1997-06-30,63.0,37.0,0.37
1997-06-30,1997-09-30,66.0,34.0,0.34
1997-09-30,1997-12-31,59.0,41.0,0.41
1997-12-31,1998-03-31,67.0,33.0,0.33
1998-03-31,1998-06-30,65.0,35.0,0.35
1998-06-30,1998-09-30,53.0,47.0,0.47
1998-09-30,1998-12-31,59.0,41.0,0.41
1998-12-31,1999-03-31,67.0,33.0,0.33
1999-03-31,1999-06-30,61.0,39.0,0.39
1999-06-30,1999-09-30,53.0,47.0,0.47
1999-09-30,1999-12-31,55.0,45.0,0.45
1999-12-31,2000-03-31,50.0,50.0,0.5
2000-03-31,2000-06-30,53.0,47.0,0.47
2000-06-30,2000-09-29,59.0,41.0,0.41
2000-09-29,2000-12-29,58.0,42.0,0.42
2000-12-29,2001-03-30,57.0,43.0,0.43
2001-03-30,2001-06-29,70.0,30.0,0.3
2001-06-29,2001-09-28,55.0,45.0,0.45
2001-09-28,2001-12-31,70.0,30.0,0.3
2001-12-31,2002-03-28,68.0,32.0,0.32
2002-03-28,2002-06-28,67.0,33.0,0.33
2002-06-28,2002-09-30,58.0,42.0,0.42
2002-09-30,2002-12-31,67.0,33.0,0.33
2002-12-31,2003-03-31,58.0,42.0,0.42
2003-03-31,2003-06-30,62.0,38.0,0.38
2003-06-30,2003-09-30,51.0,49.0,0.49
2003-09-30,2003-12-31,57.0,43.0,0.43
2003-12-31,2004-03-31,53.0,47.0,0.47
2004-03-31,2004-06-30,57.0,43.0,0.43
2004-06-30,2004-09-30,64.0,36.0,0.36
2004-09-30,2004-12-31,58.0,42.0,0.42
2004-12-31,2005-03-31,61.0,39.0,0.39
2005-03-31,2005-06-30,60.0,40.0,0.4
2005-06-30,2005-09-30,71.0,29.0,0.29
2005-09-30,2005-12-30,65.0,35.0,0.35
2005-12-30,2006-03-31,59.0,41.0,0.41
2006-03-31,2006-06-30,54.0,46.0,0.46
2006-06-30,2006-09-29,60.0,40.0,0.4
2006-09-29,2006-12-29,53.0,47.0,0.47
2006-12-29,2007-03-30,65.0,35.0,0.35
2007-03-30,2007-06-29,62.0,38.0,0.38
2007-06-29,2007-09-28,59.0,41.0,0.41
2007-09-28,2007-12-31,54.0,46.0,0.46
2007-12-31,2008-03-31,62.0,38.0,0.38
2008-03-31,2008-06-30,68.0,32.0,0.32
2008-06-30,2008-09-30,59.0,41.0,0.41
2008-09-30,2008-12-31,50.0,50.0,0.5
2008-12-31,2009-03-31,68.0,32.0,0.32
2009-03-31,2009-06-30,66.0,34.0,0.34
2009-06-30,2009-09-30,60.0,40.0,0.4
2009-09-30,2009-12-31,49.0,51.0,0.51
2009-12-31,2010-03-31,61.0,39.0,0.39
2010-03-31,2010-06-30,62.0,38.0,0.38
2010-06-30,2010-09-30,54.0,46.0,0.46
2010-09-30,2010-12-31,60.0,40.0,0.4
2010-12-31,2011-03-31,64.0,36.0,0.36
2011-03-31,2011-06-30,66.0,34.0,0.34
2011-06-30,2011-09-30,61.0,39.0,0.39
2011-09-30,2011-12-30,67.0,33.0,0.33
2011-12-30,2012-03-30,64.0,36.0,0.36
2012-03-30,2012-06-29,62.0,38.0,0.38
2012-06-29,2012-09-28,55.0,45.0,0.45
2012-09-28,2012-12-31,66.0,34.0,0.34
2012-12-31,2013-03-28,60.0,40.0,0.4
2013-03-28,2013-06-28,62.0,38.0,0.38
2013-06-28,2013-09-30,70.0,30.0,0.3
