YearMonth,Conservative,Speculative,Market
1940-08-01,168.3950766717568,74.49962210909608,68.83591288949388
1940-09-01,173.83769985103095,78.29758723497268,70.47751353858334
1940-10-01,177.77237885537616,84.06414917289806,72.6459408454763
1940-11-01,178.4654458070293,81.47304924340284,71.46665102329442
1940-12-01,178.83353078900635,77.66364879695016,71.96195290795856
1941-01-01,177.59036055805,86.73060914794524,68.9473577467702
1941-02-01,176.42672458314385,84.37577674223503,67.95410679233109
1941-03-01,177.5625933570878,85.99166230517218,68.5489582084329
1941-04-01,171.40054279601637,77.52577283222851,64.7834041405513
1941-05-01,172.59336202346952,77.00444767178728,65.71523936045791
1941-06-01,179.57678803745543,81.4621342716806,69.5469873438992
1941-07-01,193.42870756060296,103.54960628762211,73.66226992657103
1941-08-01,193.47165260225557,100.6545569814322,73.54826523994117
1941-09-01,191.45511304491447,96.21918240995177,72.90061732752879
1941-10-01,183.64317772554736,83.89866441579777,69.1098526444938
1941-11-01,182.52305901803282,75.79389234779603,67.82801022869708
1941-12-01,171.68443092188983,64.26557234925421,64.51141043188282
1942-01-01,185.85774812389806,85.8876367649824,65.02062677624065
1942-02-01,182.61375725090383,83.82506921660963,63.432909022959926
1942-03-01,175.36292122966714,79.64655632804937,59.297121640672344
1942-04-01,167.75658608665614,75.42816806567401,56.72746407324007
1942-05-01,172.76532467363091,77.46499939057058,60.092601507294965
1942-06-01,176.39296112315898,77.88870892308718,61.733453469275744
1942-07-01,183.12376902548533,82.93702153367747,63.92889224693079
1942-08-01,188.18834802467788,85.252249539427,65.12091460975469
1942-09-01,191.79950928999128,92.77087190450733,66.85559886153898
1942-10-01,203.86066415609477,112.16970837534241,71.43953165418596
1942-11-01,204.80125075862463,104.8532103203556,71.56043129256665
1942-12-01,213.57975326654196,106.22246532622286,75.25319065655633
1943-01-01,234.87963917190265,132.97723922024335,80.61858038199607
1943-02-01,254.47751710994226,159.00734977859818,85.61516816218672
1943-03-01,278.8797759344172,184.63349465660724,90.7987151831073
1943-04-01,283.11840829529365,195.22255940744188,91.56122358647131
1943-05-01,300.569501396446,214.65880304923422,96.83654656877654
1943-06-01,308.4331555308139,216.03616884794715,98.6393168511051
1943-07-01,292.9563256052703,197.67570853351472,93.94886404754784
1943-08-01,296.41802479227874,197.13494566721585,95.20561951085934
1943-09-01,305.40948831504824,206.6604530154204,97.50692514139442
1943-10-01,304.7909943979768,204.99950022188563,96.41706035042473
1943-11-01,287.43079732844524,176.25767160609954,90.77364074657129
1943-12-01,309.7609625531672,199.9437782314488,96.57251082708764
1944-01-01,318.9226386382172,217.15637664110784,98.28000312656752
1944-02-01,322.47068807455764,222.65072768235333,98.69583054449697
1944-03-01,334.6100939024175,236.30118025079904,101.14663613985321
1944-04-01,326.7162703700552,224.16949419780562,99.45934561182264
1944-05-01,344.6965808310013,239.55786273290641,104.51972695574608
1944-06-01,369.5707375043211,292.7099764670925,110.2839336727563
1944-07-01,368.03975152731306,285.94289435114337,108.66437247080756
1944-08-01,379.25968257846165,302.3431548332773,110.40751090868591
1944-09-01,382.56047820345947,297.8159386741428,110.47566698697044
1944-10-01,385.9752168575083,291.57733250618213,110.6898264489852
1944-11-01,395.4726851530952,296.07467429681793,112.62183134419989
1944-12-01,417.4340782597437,335.3743346007624,117.20579418283958
