YearMonth,Portfolio Returns,Portfolio
2021-11,-0.03453872727272727,Size
2021-12,0.05954647474747475,Size
2022-01,-0.07246459,Size
2022-02,0.01208792,Size
2022-03,0.01287168938877778,Size
2022-04,-0.10112993939393938,Size
2022-05,0.018679919191919192,Size
2022-06,-0.10314826262626263,Size
2022-07,0.09088317346938776,Size
2022-08,-0.0021543711340206175,Size
2022-09,-0.09286755670103093,Size
2022-10,0.11582230303030303,Size
2022-11,0.04303390909090909,Size
2022-12,-0.05240640404040404,Size
2023-01,0.08738902,Size
2023-02,-0.00940523,Size
2023-03,-0.03712585858585859,Size
2023-04,-0.00720784,Size
2023-05,-0.01293566,Size
2023-06,0.07413665,Size
2023-07,0.06113123,Size
2023-08,-0.03806434,Size
2023-09,-0.07096867676767676,Size
2023-10,-0.044627309999999996,Size
2023-11,0.07558474999999999,Size
2023-12,0.12602238999999998,Size
2017-04,-0.0004729381443298973,Momentum
2017-05,-0.02163635051546392,Momentum
2017-06,0.03286717525773196,Momentum
2017-07,0.041759889999999994,Momentum
2017-08,0.00737559,Momentum
2017-09,0.05144807,Momentum
2017-10,0.038344867346938774,Momentum
2017-11,0.03406331632653061,Momentum
2017-12,0.0038766632653061237,Momentum
2018-01,0.07259832000000001,Momentum
2018-02,-0.0303100404040404,Momentum
2018-03,-0.009500102040816326,Momentum
2018-04,0.0064356565656565655,Momentum
2018-05,0.08829034343434343,Momentum
2018-06,0.0007546666666666659,Momentum
2018-07,0.008408929292929293,Momentum
2018-08,0.06475160606060607,Momentum
2018-09,-0.0358970202020202,Momentum
2018-10,-0.13496821212121213,Momentum
2018-11,-0.02011810101010101,Momentum
2018-12,-0.1084579494949495,Momentum
2019-01,0.1074814101873,Momentum
2019-02,0.06129589795918368,Momentum
2019-03,-0.002580802083333334,Momentum
2019-04,0.019656969696969697,Momentum
2019-05,-0.05003028282828283,Momentum
2019-06,0.07779831313131313,Momentum
2019-07,0.029113618556701033,Momentum
2019-08,-0.022099525773195877,Momentum
2019-09,-0.05251048958333334,Momentum
2019-10,0.009825029999999998,Momentum
